epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9177,1.47764,2.26838,1.19691,0.73388,0.78267,0.79643,0.51626,1.45231,0.96985,1.13614,0.000275778,0.000275778,0.000275778
2,32.3143,1.43584,1.04227,1.13619,0.6074,0.70193,0.68802,0.42196,1.56338,1.15072,1.18727,0.000531528,0.000531528,0.000531528
3,47.5422,1.44067,0.99838,1.15131,0.68916,0.76389,0.78324,0.49771,1.42636,1.00166,1.1406,0.000765287,0.000765287,0.000765287
4,62.7086,1.38845,0.91027,1.12406,0.74846,0.81023,0.81266,0.52989,1.32543,0.90564,1.1059,0.00073404,0.00073404,0.00073404
5,77.7513,1.37033,0.87351,1.11552,0.77073,0.85247,0.83919,0.55416,1.37131,0.84565,1.08853,0.000701053,0.000701053,0.000701053
6,92.7866,1.35539,0.84762,1.10094,0.76394,0.85453,0.84973,0.58039,1.28605,0.80497,1.06037,0.000668066,0.000668066,0.000668066
7,108.137,1.31648,0.81173,1.08918,0.77514,0.83937,0.83572,0.57036,1.31867,0.79148,1.09605,0.000635079,0.000635079,0.000635079
8,123.16,1.31379,0.80304,1.08459,0.81076,0.8605,0.86054,0.59859,1.27348,0.75532,1.07164,0.000602092,0.000602092,0.000602092
9,138.291,1.27855,0.74844,1.06918,0.82824,0.8643,0.87349,0.59992,1.24129,0.75238,1.04816,0.000569106,0.000569106,0.000569106
10,153.376,1.25509,0.74188,1.0623,0.84405,0.86259,0.86602,0.59829,1.19401,0.72759,1.04194,0.000536119,0.000536119,0.000536119
11,168.594,1.26271,0.7336,1.06244,0.84349,0.87874,0.89209,0.61316,1.22291,0.69047,1.04227,0.000503132,0.000503132,0.000503132
12,183.727,1.22492,0.71731,1.04931,0.8368,0.8721,0.89559,0.62335,1.20796,0.70085,1.02936,0.000470145,0.000470145,0.000470145
13,198.823,1.22137,0.70499,1.03681,0.82735,0.87449,0.89206,0.63612,1.18019,0.68437,1.01585,0.000437158,0.000437158,0.000437158
14,213.977,1.20284,0.68493,1.0394,0.85271,0.86148,0.89921,0.64174,1.18958,0.64996,1.01536,0.000404172,0.000404172,0.000404172
15,231.315,1.2093,0.68587,1.02767,0.85861,0.87914,0.89618,0.63215,1.1939,0.6701,1.02477,0.000371185,0.000371185,0.000371185
16,252.259,1.21301,0.65518,1.04887,0.81764,0.92699,0.91751,0.64215,1.1557,0.66044,1.01393,0.000338198,0.000338198,0.000338198
17,268.314,1.18658,0.65154,1.04544,0.82437,0.90085,0.9081,0.64485,1.18329,0.65056,1.02303,0.000305211,0.000305211,0.000305211
18,284,1.1733,0.63254,1.03692,0.85884,0.9152,0.92399,0.66133,1.11734,0.63053,0.99894,0.000272224,0.000272224,0.000272224
19,299.432,1.1525,0.62076,1.02706,0.86406,0.90109,0.92336,0.65396,1.14524,0.63143,1.00108,0.000239238,0.000239238,0.000239238
20,314.859,1.13516,0.61039,1.02632,0.86885,0.89286,0.91332,0.66372,1.1101,0.60872,0.99008,0.000206251,0.000206251,0.000206251
21,330.494,1.1247,0.59459,1.01529,0.84737,0.90274,0.91229,0.66459,1.12302,0.61658,0.98427,0.000173264,0.000173264,0.000173264
22,345.851,1.10887,0.59534,1.01198,0.86058,0.9107,0.92214,0.67283,1.09885,0.59297,0.98536,0.000140277,0.000140277,0.000140277
23,361.732,1.08695,0.5709,1.00357,0.87361,0.90067,0.92133,0.6826,1.1114,0.58493,0.98294,0.00010729,0.00010729,0.00010729
24,377.508,1.08107,0.56335,0.99487,0.88484,0.91952,0.93509,0.6838,1.0823,0.58421,0.96947,7.43036e-05,7.43036e-05,7.43036e-05
25,393.213,1.06509,0.55478,0.98745,0.87944,0.90599,0.92715,0.68838,1.08,0.5739,0.97239,4.13168e-05,4.13168e-05,4.13168e-05
